Cloud Provider,Number of Nodes,Max Write,Max Read,Day,Test Iteration
AWS,1,59.95,195.26,1,1
AWS,2,120.13,249.16,1,1
AWS,4,151.26,276.7,1,1
AWS,6,166.74,243.53,1,1
AWS,8,171.57,240.6,1,1
AWS,1,26.79,41.89,1,2
AWS,2,111.92,227.69,1,2
AWS,4,144.87,233.24,1,2
AWS,6,65.48,80.05,1,2
AWS,8,86.94,110.21,1,2
AWS,1,62.91,140.41,1,3
AWS,2,91.45,224.55,1,3
AWS,4,155.42,199.38,1,3
AWS,6,157.61,213.19,1,3
AWS,8,191.91,204.89,1,3
AWS,1,58.8,194.02,2,1
AWS,2,124.94,212.01,2,1
AWS,4,137.12,168.66,2,1
AWS,6,148.02,166.83,2,1
AWS,8,160.0,234.26,2,1
AWS,1,79.19,171.33,2,2
AWS,2,84.57,221.77,2,2
AWS,4,146.13,216.97,2,2
AWS,6,159.45,211.18,2,2
AWS,8,166.41,186.09,2,2
AWS,1,71.09,182.34,2,3
AWS,2,110.96,166.27,2,3
AWS,4,125.35,179.8,2,3
AWS,6,163.64,117.14,2,3
AWS,8,149.61,211.66,2,3
AWS,1,68.28,184.05,3,1
AWS,2,91.6,242.22,3,1
AWS,4,137.2,238.7,3,1
AWS,6,147.18,276.33,3,1
AWS,8,117.8,109.49,3,1
AWS,1,72.63,199.66,3,2
AWS,2,100.67,218.39,3,2
AWS,4,121.99,186.59,3,2
AWS,6,141.57,211.98,3,2
AWS,8,173.54,279.53,3,2
AWS,1,67.1,185.53,3,3
AWS,2,109.24,267.25,3,3
AWS,4,146.05,163.59,3,3
AWS,6,155.89,193.05,3,3
AWS,8,156.07,221.28,3,3
AWS,1,62.7,173.38,4,1
AWS,2,116.39,294.87,4,1
AWS,4,170.61,277.99,4,1
AWS,6,174.21,342.47,4,1
AWS,8,11.33,352.3,4,1
AWS,1,69.43,109.24,4,2
AWS,2,113.27,221.74,4,2
AWS,4,170.06,197.5,4,2
AWS,6,197.54,289.51,4,2
AWS,8,213.11,342.39,4,2
AWS,1,66.43,198.92,4,3
AWS,2,120.61,293.14,4,3
AWS,4,126.63,271.32,4,3
AWS,6,183.01,210.68,4,3
AWS,8,187.35,255.83,4,3
GCP,1,610.26,2576.5,1,1
GCP,2,1182.79,3225.71,1,1
GCP,4,2499.46,5029.68,1,1
GCP,6,3101.09,6439.89,1,1
GCP,8,5107.45,8724.31,1,1
GCP,1,741.69,2647.28,1,2
GCP,2,1188.23,2725.07,1,2
GCP,4,2914.02,5177.46,1,2
GCP,6,4337.33,6093.32,1,2
GCP,8,5861.46,8803.35,1,2
GCP,1,791.07,2770.96,1,3
GCP,2,848.84,2572.37,1,3
GCP,4,3080.22,5495.54,1,3
GCP,6,4176.41,8272.58,1,3
GCP,8,4852.49,9383.34,1,3
GCP,1,748.71,2578.66,2,1
GCP,2,1223.01,3379.73,2,1
GCP,4,2386.37,5346.01,2,1
GCP,6,3246.6,5921.8,2,1
GCP,8,3625.94,8993.08,2,1
GCP,1,759.7,2531.27,2,2
GCP,2,1521.8,3500.93,2,2
GCP,4,2330.53,5870.13,2,2
GCP,6,3604.01,7658.34,2,2
GCP,8,4740.72,8879.17,2,2
GCP,1,732.39,2579.17,2,3
GCP,2,1386.6,3231.74,2,3
GCP,4,2928.11,6059.36,2,3
GCP,6,2669.08,6831.93,2,3
GCP,8,5671.57,10762.52,2,3
GCP,1,610.64,2354.21,3,1
GCP,2,1264.88,3180.03,3,1
GCP,4,2521.05,5989.65,3,1
GCP,6,2204.32,3002.44,3,1
GCP,8,5440.43,9212.81,3,1
GCP,1,777.52,2730.1,3,2
GCP,2,1466.81,3397.47,3,2
GCP,4,3056.93,5552.02,3,2
GCP,6,2971.73,6081.29,3,2
GCP,8,5820.1,8692.62,3,2
GCP,1,762.61,2725.01,3,3
GCP,2,1485.78,2883.17,3,3
GCP,4,2779.18,6674.29,3,3
GCP,6,3407.86,5671.05,3,3
GCP,8,4834.93,9881.46,3,3
GCP,1,687.63,2419.82,4,1
GCP,2,1565.05,3340.71,4,1
GCP,4,2537.3,5216.99,4,1
GCP,6,3423.34,6890.06,4,1
GCP,8,5678.99,8262.28,4,1
GCP,1,787.12,2671.77,4,2
GCP,2,1497.64,3479.7,4,2
GCP,4,3011.48,5723.4,4,2
GCP,6,3732.81,8514.59,4,2
GCP,8,5598.7,7602.41,4,2
GCP,1,759.72,2463.76,4,3
GCP,2,1542.37,3149.34,4,3
GCP,4,2885.12,5051.64,4,3
GCP,6,3126.99,8533.52,4,3
GCP,8,3630.58,9809.43,4,3
